"Year","Month","ChargingStations","PortsFast","PortsTotal","post_sep_17","post_jul_18","Interest_GW","Interest_Ecar","gw_lag_6","gw_lag_7","gw_lag_8","gw_lag_9","gw_lag_10","gw_lag_11","gw_lag_12","car_lag_6","car_lag_7","car_lag_8","car_lag_9","car_lag_10","car_lag_11","car_lag_12","stations_lag_12","stations_lag_1","ports_lag_2","ports_lag_3","ports_lag_4","ports_lag_5","ports_fast_lag_2","ports_fast_lag_3"
2010,3,3,0,49,0,0,95,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,4,5,0,22,0,0,100,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
2010,5,6,0,11,0,0,89,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,49,NA,NA,NA,0,NA
2010,6,1,0,1,0,0,38,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,22,49,NA,NA,0,0
2010,7,2,0,2,0,0,29,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,22,49,NA,0,0
2010,8,1,0,11,0,0,27,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,11,22,49,0,0
2010,9,3,0,26,0,0,49,17,95,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,2,1,11,22,0,0
2010,10,15,1,52,0,0,61,23,100,95,NA,NA,NA,NA,NA,16,5,NA,NA,NA,NA,NA,NA,3,11,2,1,11,0,0
2010,11,8,2,28,0,0,61,13,89,100,95,NA,NA,NA,NA,11,16,5,NA,NA,NA,NA,NA,15,26,11,2,1,0,0
2010,12,19,1,85,0,0,59,32,38,89,100,95,NA,NA,NA,19,11,16,5,NA,NA,NA,NA,8,52,26,11,2,1,0
2011,1,10,1,25,0,0,58,25,29,38,89,100,95,NA,NA,16,19,11,16,5,NA,NA,NA,19,28,52,26,11,2,1
2011,2,16,0,54,0,0,71,25,27,29,38,89,100,95,NA,13,16,19,11,16,5,NA,NA,10,85,28,52,26,1,2
2011,3,480,120,741,0,0,61,22,49,27,29,38,89,100,95,17,13,16,19,11,16,5,3,16,25,85,28,52,1,1
2011,4,14,5,47,0,0,62,29,61,49,27,29,38,89,100,23,17,13,16,19,11,16,5,480,54,25,85,28,0,1
2011,5,40,1,86,0,0,61,30,61,61,49,27,29,38,89,13,23,17,13,16,19,11,6,14,741,54,25,85,120,0
2011,6,19,0,44,0,0,40,16,59,61,61,49,27,29,38,32,13,23,17,13,16,19,1,40,47,741,54,25,5,120
2011,7,30,0,136,0,0,32,14,58,59,61,61,49,27,29,25,32,13,23,17,13,16,2,19,86,47,741,54,1,5
2011,8,49,1,140,0,0,36,11,71,58,59,61,61,49,27,25,25,32,13,23,17,13,1,30,44,86,47,741,0,1
2011,9,33,1,110,0,0,43,10,61,71,58,59,61,61,49,22,25,25,32,13,23,17,3,49,136,44,86,47,0,0
2011,10,47,2,109,0,0,50,15,62,61,71,58,59,61,61,29,22,25,25,32,13,23,15,33,140,136,44,86,1,0
2011,11,247,25,338,0,0,60,21,61,62,61,71,58,59,61,30,29,22,25,25,32,13,8,47,110,140,136,44,1,1
2011,12,69,0,265,0,0,48,23,40,61,62,61,71,58,59,16,30,29,22,25,25,32,19,247,109,110,140,136,2,1
2012,1,828,118,1172,0,0,46,18,32,40,61,62,61,71,58,14,16,30,29,22,25,25,10,69,338,109,110,140,25,2
2012,2,73,1,152,0,0,51,17,36,32,40,61,62,61,71,11,14,16,30,29,22,25,16,828,265,338,109,110,0,25
2012,3,83,6,160,0,0,52,20,43,36,32,40,61,62,61,10,11,14,16,30,29,22,480,73,1172,265,338,109,118,0
2012,4,61,1,189,0,0,53,16,50,43,36,32,40,61,62,15,10,11,14,16,30,29,14,83,152,1172,265,338,1,118
2012,5,98,11,222,0,0,46,17,60,50,43,36,32,40,61,21,15,10,11,14,16,30,40,61,160,152,1172,265,6,1
2012,6,74,4,149,0,0,27,11,48,60,50,43,36,32,40,23,21,15,10,11,14,16,19,98,189,160,152,1172,1,6
2012,7,59,2,163,0,0,32,11,46,48,60,50,43,36,32,18,23,21,15,10,11,14,30,74,222,189,160,152,11,1
2012,8,53,2,178,0,0,27,13,51,46,48,60,50,43,36,17,18,23,21,15,10,11,49,59,149,222,189,160,4,11
2012,9,26,4,54,0,0,34,12,52,51,46,48,60,50,43,20,17,18,23,21,15,10,33,53,163,149,222,189,2,4
2012,10,195,24,306,0,0,45,16,53,52,51,46,48,60,50,16,20,17,18,23,21,15,47,26,178,163,149,222,2,2
2012,11,47,37,130,0,0,57,15,46,53,52,51,46,48,60,17,16,20,17,18,23,21,247,195,54,178,163,149,4,2
2012,12,56,15,141,0,0,43,13,27,46,53,52,51,46,48,11,17,16,20,17,18,23,69,47,306,54,178,163,24,4
2013,1,57,0,155,0,0,39,19,32,27,46,53,52,51,46,11,11,17,16,20,17,18,828,56,130,306,54,178,37,24
2013,2,52,7,136,0,0,44,16,27,32,27,46,53,52,51,13,11,11,17,16,20,17,73,57,141,130,306,54,15,37
2013,3,68,0,311,0,0,42,16,34,27,32,27,46,53,52,12,13,11,11,17,16,20,83,52,155,141,130,306,0,15
2013,4,60,2,115,0,0,50,21,45,34,27,32,27,46,53,16,12,13,11,11,17,16,61,68,136,155,141,130,7,0
2013,5,27,0,115,0,0,52,17,57,45,34,27,32,27,46,15,16,12,13,11,11,17,98,60,311,136,155,141,0,7
2013,6,95,170,345,0,0,26,18,43,57,45,34,27,32,27,13,15,16,12,13,11,11,74,27,115,311,136,155,2,0
2013,7,49,2,155,0,0,20,14,39,43,57,45,34,27,32,19,13,15,16,12,13,11,59,95,115,115,311,136,0,2
